Iteración,x_n,f(x_n),f'(x_n),x_n+1,Error
70,37.15946073931693,-1289680.402489492,-421611.7643896855,34.10053185872366,3.058928880593264
71,34.10053185872366,-472745.7886886309,-155688.1531394,31.064040133721672,3.0364917250019907
72,31.064040133721672,-173179.13224898532,-57529.953180264674,28.053797248483352,3.01024288523832
73,28.053797248483352,-63387.508521080126,-21277.321806588956,25.074686009894535,2.9791112385888177
74,25.074686009894535,-23175.679741004365,-7878.892213535048,22.13319638002104,2.9414896298734945
75,22.13319638002104,-8460.671039257935,-2922.807368024503,19.238489348754584,2.8947070312664565
76,19.238489348754584,-3082.2476726112573,-1087.649887715593,16.4046291999847,2.833860148769883
77,16.4046291999847,-1119.7119544376044,-407.1708655171647,13.654648665362187,2.749980534622514
78,13.654648665362187,-405.26479095799255,-154.0276631965317,11.023531744235527,2.63111692112666
79,11.023531744235527,-145.49643373694417,-58.7456379756284,8.546812812400864,2.4767189318346627
80,8.546812812400864,-50.09603999073982,-22.16240549108222,6.286406557723428,2.260406254677436
81,6.286406557723428,-14.721356854411638,-9.519061222762755,4.739893040276064,1.546513517447364
82,4.739893040276064,-4.82331180021537,-4.964875015147873,3.7684059866242787,0.971487053651785
83,3.7684059866242787,-0.1799502702635296,-4.249524934264994,3.72606001312203,0.04234597350224867
84,3.72606001312203,-0.0019037561364996236,-4.158662426296386,3.725602232244106,0.00045778087792403
85,3.725602232244106,-2.3187809361502332e-07,-4.157649264767161,3.7256021764726643,5.5771441687113565e-08
