Iteración,x_n-1,x_n,f(x_n),x_n+1,Error
1,2.5,3.5,22.814189937374785,2.6650654584780993,0.8349345415219007
2,3.5,2.6650654584780993,-1.1897692844744228,2.7064494427978727,0.041383984319773415
3,2.6650654584780993,2.7064494427978727,-0.2903451229328873,2.719808699229436,0.013359256431563438
4,2.7064494427978727,2.719808699229436,0.005890366838105621,2.719543062856404,0.00026563637303222976
5,2.719808699229436,2.719543062856404,-2.820545149972986e-05,2.7195443287687673,1.2659123633795843e-06
6,2.719543062856404,2.7195443287687673,-2.718380187616276e-09,2.719544328890785,1.2201750720919335e-10
