Iteración,x_n,f(x_n),f'(x_n),x_n+1,Error
1,-0.5,2.0539936458280645,-0.8054714062262911,2.05005159705323,2.55005159705323
2,2.05005159705323,1.9577415871549961,8.891009643638224,1.8298582033191653,0.22019339373406455
3,1.8298582033191653,0.2963105491201201,6.249850621562514,1.7824473823152482,0.047410821003917025
4,1.7824473823152482,0.012598227607500512,5.72075503117526,1.780245185657841,0.002202196657407285
5,1.780245185657841,2.668805560279708e-05,5.696522453317428,1.7802405006845399,4.684973301083417e-06
6,1.7802405006845399,1.2068479549043332e-10,5.696470933265717,1.780240500663354,2.1185941889712012e-11
