Iteración,a,b,c,f(c),Error
1,2.5,3.5,3.0,6.909282046710587,1.0
2,2.5,3.0,2.75,0.6860718416376663,0.5
3,2.5,2.75,2.625,-2.034565803252981,0.25
4,2.625,2.75,2.6875,-0.7055954858984954,0.125
5,2.6875,2.75,2.71875,-0.017691405623889267,0.0625
6,2.71875,2.75,2.734375,0.33219626743863984,0.03125
7,2.71875,2.734375,2.7265625,0.15675538749423268,0.015625
8,2.71875,2.7265625,2.72265625,0.0694079106198906,0.0078125
9,2.71875,2.72265625,2.720703125,0.02582725498702132,0.00390625
10,2.71875,2.720703125,2.7197265625,0.004060178124838387,0.001953125
11,2.71875,2.7197265625,2.71923828125,-0.006817550036078757,0.0009765625
12,2.71923828125,2.7197265625,2.719482421875,-0.001379170071334812,0.00048828125
13,2.719482421875,2.7197265625,2.7196044921875,0.0013403829923106514,0.000244140625
14,2.719482421875,2.7196044921875,2.71954345703125,-1.9423797432693846e-05,0.0001220703125
15,2.71954345703125,2.7196044921875,2.719573974609375,0.0006604720328731162,6.103515625e-05
16,2.71954345703125,2.719573974609375,2.7195587158203125,0.00032052222659118,3.0517578125e-05
17,2.71954345703125,2.7195587158203125,2.7195510864257812,0.0001505487417965412,1.52587890625e-05
18,2.71954345703125,2.7195510864257812,2.7195472717285156,6.556235398846866e-05,7.62939453125e-06
19,2.71954345703125,2.7195472717285156,2.719545364379883,2.3069248726415026e-05,3.814697265625e-06
20,2.71954345703125,2.719545364379883,2.7195444107055664,1.822718260768852e-06,1.9073486328125e-06
21,2.71954345703125,2.7195444107055664,2.719543933868408,-8.80054143337361e-06,9.5367431640625e-07
