Iteración,a,b,c,f(c),Error
1,-8.0,-6,-7.0,5.996966107989353,2.0
2,-7.0,-6,-6.5,6.416114123381267,1.0
3,-6.5,-6,-6.25,6.478133410979692,0.5
4,-6.25,-6,-6.125,6.462781258104713,0.25
5,-6.125,-6,-6.0625,6.443838374493737,0.125
6,-6.0625,-6,-6.03125,6.431688213066898,0.0625
7,-6.03125,-6,-6.015625,6.424966511367245,0.03125
8,-6.015625,-6,-6.0078125,6.421447236019944,0.015625
9,-6.0078125,-6,-6.00390625,6.41964841728832,0.0078125
10,-6.00390625,-6,-6.001953125,6.418739267099175,0.00390625
11,-6.001953125,-6,-6.0009765625,6.418282263685056,0.001953125
12,-6.0009765625,-6,-6.00048828125,6.418053155763946,0.0009765625
13,-6.00048828125,-6,-6.000244140625,6.417938450358425,0.00048828125
14,-6.000244140625,-6,-6.0001220703125,6.41788105980801,0.000244140625
15,-6.0001220703125,-6,-6.00006103515625,6.417852355072588,0.0001220703125
16,-6.00006103515625,-6,-6.000030517578125,6.417838000340037,6.103515625e-05
17,-6.000030517578125,-6,-6.0000152587890625,6.4178308223825775,3.0517578125e-05
18,-6.0000152587890625,-6,-6.000007629394531,6.417827233256055,1.52587890625e-05
19,-6.000007629394531,-6,-6.000003814697266,6.417825438655846,7.62939453125e-06
20,-6.000003814697266,-6,-6.000001907348633,6.417824541346505,3.814697265625e-06
21,-6.000001907348633,-6,-6.000000953674316,6.417824092689525,1.9073486328125e-06
22,-6.000000953674316,-6,-6.000000476837158,6.417823868360458,9.5367431640625e-07
