Iteración,x_n-1,x_n,f(x_n),x_n+1,Error
1,-10.0,0.0,2.0,2.539110933742841,2.539110933742841
2,0.0,2.539110933742841,3.5953516967997414,-3.1831362812805106,5.722247215023351
3,2.539110933742841,-3.1831362812805106,0.592215319745623,-4.311557384631385,1.1284211033508744
4,-3.1831362812805106,-4.311557384631385,1.654613221797904,-2.5541174708727308,1.7574399137586543
5,-4.311557384631385,-2.5541174708727308,0.4055534985161495,-1.9834995154845654,0.5706179553881654
6,-2.5541174708727308,-1.9834995154845654,0.48079543984556494,-5.629743963690663,3.6462444482060974
7,-1.9834995154845654,-5.629743963690663,3.8520552572738307,-1.4634868797936642,4.166257083896999
8,-5.629743963690663,-1.4634868797936642,0.7272400770180747,-0.4938714152648572,0.969615464528807
9,-1.4634868797936642,-0.4938714152648572,1.5136343933858813,-2.360165823709176,1.8662944084443187
10,-0.4938714152648572,-2.360165823709176,0.40617013461382845,-3.044642135339643,0.6844763116304673
11,-2.360165823709176,-3.044642135339643,0.5258451536199313,-0.037092571297607346,3.0075495640420358
12,-3.044642135339643,-0.037092571297607346,1.9629106182814322,-4.145152447092046,4.108059875794439
13,-0.037092571297607346,-4.145152447092046,1.4423926907128686,-15.528882428373437,11.383729981281391
14,-4.145152447092046,-15.528882428373437,6.776459411485643,-1.0668615711821943,14.462020857191243
15,-15.528882428373437,-1.0668615711821943,1.0079593866030614,1.460160983966687,2.527022555148881
16,-1.0668615711821943,1.460160983966687,3.2707083482433688,-2.1925437161310106,3.6527047000976975
17,1.460160983966687,-2.1925437161310106,0.4277415586655591,-2.7421152438366954,0.5495715277056847
18,-2.1925437161310106,-2.7421152438366954,0.43070225478572266,77.20587216927017,79.94798741310686
19,-2.7421152438366954,77.20587216927017,-34.24584099712156,-1.749116080273538,78.9549882495437
20,77.20587216927017,-1.749116080273538,0.5727776429370177,-0.45028074923418204,1.298835331039356
21,-1.749116080273538,-0.45028074923418204,1.555410785769113,-2.506208230994087,2.055927481759905
22,-0.45028074923418204,-2.506208230994087,0.4032275869988098,-3.225717661785444,0.7195094307913572
23,-2.506208230994087,-3.225717661785444,0.6155123210096913,-1.139524691771646,2.086192970013798
24,-3.225717661785444,-1.139524691771646,0.9514664890869002,-7.0478981824098765,5.908373490638231
25,-1.139524691771646,-7.0478981824098765,6.643272424737202,-0.15185584906901983,6.896042333340857
26,-7.0478981824098765,-0.15185584906901983,1.8483629519817049,2.50646110908613,2.65831695815515
27,-0.15185584906901983,2.50646110908613,3.596764440399789,-2.962156922722497,5.468618031808627
28,2.50646110908613,-2.962156922722497,0.4931443077063946,-3.831083446622382,0.8689265238998853
29,-2.962156922722497,-3.831083446622382,1.0920571388427356,-2.2466835736821844,1.5843998729401978
30,-3.831083446622382,-2.2466835736821844,0.4186876726902682,-1.261535406506625,0.9851481671755593
31,-2.2466835736821844,-1.261535406506625,0.8614729744034402,-3.178217190028393,1.916681783521768
32,-1.261535406506625,-3.178217190028393,0.5896115897088126,-7.335106902841381,4.156889712812988
33,-3.178217190028393,-7.335106902841381,7.173685975127794,-2.8059628368206404,4.5291440660207405
34,-7.335106902841381,-2.8059628368206404,0.44512514046114227,-2.5063391969228954,0.299623639897745
35,-2.8059628368206404,-2.5063391969228954,0.40323171033269967,0.3775915865354431,2.8839307834583385
36,-2.5063391969228954,0.3775915865354431,2.374232873385723,-3.09634003715261,3.473931623688053
37,0.3775915865354431,-3.09634003715261,0.5489379105506902,-4.141087766002633,1.0447477288500226
38,-3.09634003715261,-4.141087766002633,1.43743319721864,-2.4508648793965504,1.6902228866060822
39,-4.141087766002633,-2.4508648793965504,0.4025754650085904,-1.7933423587980444,0.657522520598506
40,-2.4508648793965504,-1.7933423587980444,0.5529111433673823,-4.2116074880261785,2.418265129228134
41,-1.7933423587980444,-4.2116074880261785,1.5250092010665126,-0.41787850823572414,3.7937289797904543
42,-4.2116074880261785,-0.41787850823572414,1.586672232625003,-98.03559658342647,97.61771807519074
43,-0.41787850823572414,-98.03559658342647,53.862553814503976,2.5450045268312778,100.58060111025775
44,-98.03559658342647,2.5450045268312778,3.5950154490980686,9.738291220969302,7.193286694138024
45,2.5450045268312778,9.738291220969302,-5.832362063905361,5.288076686564822,4.45021453440448
46,9.738291220969302,5.288076686564822,0.7877950936206632,5.817649790698405,0.5295731041335827
47,5.288076686564822,5.817649790698405,-0.21681033512672343,5.703359225571295,0.11429056512711
48,5.817649790698405,5.703359225571295,0.005927074935120125,5.706400514161737,0.0030412885904418374
49,5.703359225571295,5.706400514161737,3.388310807395101e-05,5.70641800015456,1.748599282347385e-05
50,5.706400514161737,5.70641800015456,-5.714169137860381e-09,5.706417997206157,2.9484032992854736e-09
